Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
R_0R_Jumper_0603	R		0R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Resistor		None	0				Yageo	RC0603JR-070RL	Digi-Key	311-0.0GRCT-ND	Panasonic	ERJ-3GEY0R00V	Digi-Key	P0.0GCT-ND	Flex_R_0603(1608)	
R_R005_5%_0603	R		R005	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Resistor		5%	0.005		7A	0.25W	Panasonic	ERJ-3LWJR005V	Digi-Key	P19189CT-ND					Flex_R_0603(1608)	
R_R050_1%_0603	R		R050	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Resistor		1%	0.050			1/8W	Stackpole Electronics	CSR0603FK50L0	Digi-Key	CSR0603FK50L0CT-ND					Flex_R_0603(1608)	
R_R300_1%_0603	R		0.3R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	RES 0.3 OHM 1% 1/8W 0603		1%	0.300			1/8W	Stackpole Electronics	CSR0603FKR300	Digi-Key	CSR0603FKR300CT-ND					Flex_R_0603(1608)	
R_R390_1%_0603	R		0.39R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	RES 0.39 OHM 1% 1/10W 0603		1%	0.390			1/10W	Yageo	PT0603FR-070R39L	Digi-Key	311-0.39AKCT-ND					Flex_R_0603(1608)	
R_2_1%_0603	R		2R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	RES SMD 2 OHM 1% 1/4W 0603 Pulse Withstanding		1%	2				Vishay Dale	CRCW06032R00FKEAHP	Digi-Key	541-2.00SCT-ND						
R_10_1%_0603	R		10R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Resistor		1%	10				Yageo	RC0603FR-0710RL	Digi-Key	311-10.0HRTR-ND	Panasonic	ERJ-3EKF10R0V	Digi-Key	P10.0HCT-ND	Flex_R_0603(1608)	
R_10_5%_0603	R		10R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	RES SMD 10 OHM 5% 1/10W 0603		5%	10				Yageo	RC0603JR-0710RL	Digi-Key	311-10GRCT-ND	Panasonic	ERJ-3GEYJ100V	Digi-Key	P10GCT-ND	Flex_R_0603(1608)	
R_20_1%_0603	R		20R	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	RES SMD 20 OHM 1% 1/10W 0603		1%	20			0.1W	Yageo	RC0603FR-0720RL	Digi-Key	311-20.0HRCT-ND						
R_27_1%_0603	R		27	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Resistor		1%	27				Vishay Dale	CRCW060327R0FKEA	Digi-Key	541-27.0HCT-ND	Yageo	RC0603FR-0727RL	Digi-Key	311-27.0HRCT-ND	Flex_R_0603(1608)	
