Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
CON6_10114830	CON6		10114830-10106LF	Standard	Standard		6		CON6_10114830-10106LF	"Connector Header Surface Mount, Right Angle 6 position 0.049"" (1.25mm)"							Amphenol ICC (FCI)	10114830-10106LF	Digi-Key	609-6042-1-ND						
CON6_2.54_MALE_VERT	CON6			Standard	Standard		6		CON6_2.54_STAGGERED	6 Pin Vertical Connector Male 0.1 Pitch							Samtec	TSW-106-07-L-S	Digi-Key	SAM1031-06-ND	Sullins	PRPC006SAAN-RC	Digi-Key	S1011EC-06-ND		
CON6_JST_ZR-SM4	CON6			Standard	Standard		6		CON6_JST_ZR-SM4	"6 Positions Header, Shrouded  0.059"" (1.50mm) Surface Mount"							JST	B6B-ZR-SM4-TF(LF)(SN)	Digi-Key	455-1685-1-ND						
CON6_JST_SH-SM2	CON6			Standard	Standard		6		CON6_JST_SH-SM2	"6 Positions Header, Shrouded  1MM"" (1.50mm) Surface Mount"							JST	SM06B-SRSS-TB(LF)(SN)	Digi-Key	455-1806-1-ND						
CON6_SAMTEC_TMM-106	CON6			Standard	Standard		6		CON_SAMTEC_6P_2MM	"6 Positions Header 2MM"" Through hole"							SAMTEC	TMM-106-01-G-S	Digi-Key	SAM1174-06-ND						
CON6_SAMTEC_TMM-106-RA	CON6			Standard	Standard		6		CON_SAMTEC_6P_2MM_RA	"6 Positions Header 2MM"" Through hole RA"							SAMTEC	TMM-106-01-G-S-RA	Digi-Key	TMM-106-01-G-S-RA-ND						
CON8_100mil_PTH	CON8_2ROW			Standard	Standard		8		CON8_100mil	"2 * 4 Header 0.1"""							Molex	70287-1002	Digi-Key	WM16610-ND						
CON8_2mm_PTH	CON8_2ROW			Standard	Standard		8		CON8_2mm	CONN HEADER 8POS 2MM VERT GOLD							Molex	877580816	Digi-Key	WM18835-ND						
CON20_Molex_57246-2071	CON20_2MP			Standard	Standard		20		CON20_SMT_FPC_MOLEX_52746-2071	20 Pin FPC 0.5MM SMD							Molex Inc	52746-2071	Digi-Key	WM7979CT-ND						
CON_USB_TypeA_Jack_RT_TH	CON_USB4-2GND		USB Type A Jack	Standard	Standard		4		CON_USB_TypeA_Jack_RT_TH								Molex Inc	676432911	Digi-Key	WM4078-ND						
CON_USB_TypeB_Port	CON_USB_TypeB_TH		USB Type B Port	Standard	Standard		4		CON_USB_TypeB_TH								Molex Inc	670688001	Digi-Key	WM17123-ND						
CON_USB_TypeA_Vertical_Port	CON_USB4-4GND		USB Type A Vertical Port	Standard	Standard		4		CON_USB_TypeA_RA_VERT_TH	USB Type A Vertical Port							Molex Inc	482040001	Digi-Key	WM17532-ND						
CON_USB_TypeA_Vert_Standard_Pinout	CON_USB4-4GND		USB Type A Vertical Port Standard pinout	Standard	Standard		4		CON_USB_TypeA_RA_VERT_TH_FCI	USB Type A Vertical Port Standard Pinout							FCI	73725-0110BLF	Digi-Key	609-1041-ND	Cherng Weei	UAF-041UGPx3-CF1108				
CON_DB9_Receptacle_RA_TH	CON-DB9-FE-RA		DB9 Receptical RA TH	Standard	Standard		9		CON_TE-5747844-4_V	DB9 Receptacle RA TH							TE Connectivity AMP Connectors	1734354-1	Digi-Key	A35107-ND	TE Connectivity AMP Connectors	5747844-4	Digi-Key	A32117-ND		
