Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
U_TS3USB221	U_TS3USB221		TS3USB221	Standard	Standard	UQFN-10	10		SM_UQFN-10	Analog USB Switch IC				3.6V			Texas Instruments	TS3USB221ARSER	Digi-Key	296-24019-1-ND						
U_TUSB2077A	U_TUSB2077A		TUSB2077APTR	Standard	Standard	LQFP-48	48		SM_LQFP-48	7-port USB Hub IC				3.6V			Texas Instruments	TUSB2077APTR	Digi-Key	296-37871-1-ND						
U_USB2517	U_USB2517		USB2517-JZX-TR	Standard	Standard	QFN64	64		SM_QFN64_9x9mm	7-port USB Hub IC				3.3V			Microchip	USB2517-JZX-TR	Digi-Key	USB2517-JZX-TR-ND						
U_VNC2-32Q1C	U_VNC2-QFN32		VNC2-32Q1C	Standard	Standard	QFN32	64		SM_QFN-32_7X7_L	Vinculum II USB host uart bridge				3.3V			FTDI	VNC2-32Q1C	Mouser	895-VNC2-32Q1C-REEL						
U_VN5T016AH-E	U_VN5-Driver		VN5T016AH	Standard	Standard	HPAK (TO252-7)	8		SM_HPAK	IC DVR HIGH-SIDE 1CH TO252-6			16mOhm	36V	60A		STMicroelectronics	VN5T016AHTR-E	Digi-Key	497-14315-1-ND						
U_W25X40CLSNIG	U_W25X40CLSNIG		W25X40CLSNIG	Standard	Standard	8-SOIC	8		8-SOIC-4mm-M	IC Flash Memory 4M-bit				3.6V			Winbond	W25X40CLSNIG	Digi-Key	W25X40CLSNIG-ND						
U_ZXCT1110	U_ZXCT1110		ZXCT1110W5-7	Standard	Standard	SOT-753	5		SM_SC-74A_(SOT-753)	C CURR MONITOR HIGH SIDE SOT25				2.5V ~ 36V			Diodes Incorporated	ZXCT1110W5-7	Digi-Key	ZXCT1110W5-7DICT-ND						
U_ZXCT1110W5-7	U_ZXCT1110		ZXCT1110W5-7	Standard	Standard	SOT23-5	5		SOT23-5	IC CURR MONITOR HIGH SIDE SOT25							Diodes Incorporated	ZXCT1110W5-7	Digi-Key	ZXCT1110W5-7DICT-ND						
U_ZXTR2105FF	U_ZXTR210		ZXTR2105FF	Standard	Standard	SOT23F	3		SM_SOT-23F	IC REG LINEAR 15MA SOT23-F				5V	15mA		Diodes	ZXTR2105FF-7	Digi-Key	ZXTR2105FF-7DICT-ND					SM_SOT23_123	
U_ZXTR2105FQ	U_ZXTR210		ZXTR2105FQ-7	Standard	Standard	SOT23	3		SM_SOT23_123	IC REG LINEAR 15MA SOT23				5V	89mA		Diodes	ZXTR2105FQ-7	Digi-Key	ZXTR2105FQ-7DICT-ND						
