Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
CAP_1p_25%_50V_0402_NP0	CAP_NP	Symbols\CAP_NP.Schlib	1p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	25%	1	50V			Murata	GRM1555C1H1R0CA01D	Digi-Key	490-3199-1-ND					Flex_C_0402(1005)	
CAP_6.8p_4%_50V_0402_NP0	CAP_NP	Symbols\CAP_NP.Schlib	6.8p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	4%	6.8	50V			Murata	GRM1555C1H6R8CA01D	Digi-Key	490-5949-1-ND					Flex_C_0402(1005)	
CAP_10p_5%_50V_0402_NP0	CAP_NP	Symbols\CAP_NP.Schlib	10p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	5%	10	50V			Murata	GRM1555C1H100JA01D	Digi-Key	490-5921-1-ND					Flex_C_0402(1005)	
CAP_12p_5%_50V_0402_NP0	CAP_NP	Symbols\CAP_NP.Schlib	12p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	5%	12	50V			Murata	GRM1555C1H120JA01D	Digi-Key	490-5924-1-ND					Flex_C_0402(1005)	
CAP_33p_5%_50V_0402_NPO	CAP_NP	Symbols\CAP_NP.Schlib	33p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	5%	33	50V			TDK	CGA2B2C0G1H330J050BA	Digi-Key	445-5590-2-ND	Murata	GRM1555C1H330JA01D	Digi-Key	490-5936-2-ND	Flex_C_0402(1005)	
CAP_47p_5%_50V_0402_NPO	CAP_NP	Symbols\CAP_NP.Schlib	47p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	5%	47	50V			TDK	CGA2B2C0G1H470J050BA	Digi-Key	445-5592-1-ND	Murata	GRM1555C1H470JA01D	Digi-Key	490-5942-1-ND	Flex_C_0402(1005)	
CAP_100p_5%_50V_0402_C0G	CAP_NP	Symbols\CAP_NP.Schlib	100p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	Capacitor, Ceramic	C0G/NP0	5%	100	50V			Yageo	CC0402JRNPO9BN101	Digi-Key	311-1024-2-ND					Flex_C_0402(1005)	
CAP_330p_5%_50V_0402_NPO	CAP_NP	Symbols\CAP_NP.Schlib	330p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	CAP CER 330PF 50V C0G 0402	C0G/NP0	5%	330	50V			TDK	C1005C0G1H331J050BA	Digi-Key	445-1253-1-ND	Murata	GRM1555C1H331JA01D	Digi-Key	490-1295-1-ND	Flex_C_0402(1005)	
CAP_470p_10%_50V_0402_X7R	CAP_NP	Symbols\CAP_NP.Schlib	470p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	CAP CER 470PF 50V X7R 0402	X7R	10%	470	50V			Yageo	CC0402KRX7R9BB471	Digi-Key	311-1028-1-ND					Flex_C_0402(1005)	
CAP_1000p_10%_50V_0402_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1000p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	CAP CER 1000PF 50V X7R 0402	X7R	10%	1000	50V			Yageo	CC0402KPX7R9BB102	Digi-Key	311-1036-1-ND					Flex_C_0402(1005)	
CAP_1000p_5%_50V_0402_C0G	CAP_NP	Symbols\CAP_NP.Schlib	1000p	Standard	Standard	0402(1005)	2	Footprints\SM_IPC_C_0402.PcbLib	SM/IPC/C_0402	CAP CER 1000PF 50V C0G/NP0 0402	C0G/NP0	5%	1000	50V			Kemet	C0402C102J5GACTU	Digi-Key	399-10034-2-ND					Flex_C_0402(1005)	
