Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
Q_NPN_PNP_MMDT3946_SOT363	Q_NPN_PNP		MMDT3946	Standard	Standard	SOT-363	6			"Transistor Pair, NPN and PNP"				40V	200mA	200mW	Diodes Inc.	MMDT3946-7-F	Digi-Key	MMDT3946-FDICT-ND	ON	MBT3946DW1T1G	Digi-Key	MBT3946DW1T1GOSCT-ND		
Q_PFET_60V_3A_SOT23-6	Q_PFET_6PIN		FDC5614P	Standard	Standard	SOT23-6	6			"Mosfet, P Channel"				60V	3A		Fairchild	FDC5614P	Digi-Key	FDC5614PCT-ND	Diodes Inc.	ZXMP6A17E6TA	Digi-Key	ZXMP6A17E6CT-ND		
Q_PFET_60V_8-DFN	Q_PFET_8PIN		NTTFS5116PLTAG	Standard	Standard	8-DFN	8		8-DFN-33x33	"Mosfet, P Channel"				60V	5.7A		On Semiconductor	NTTFS5116PLTAG	Digi-Key	NTTFS5116PLTAGOSCT-ND	Fairchild	FDMC5614P	Digi-Key	FDMC5614PCT-ND	Flex_SON8_3.3x3.3_DQG8	
Q_PFET_AO3407A	Q_PFET_3PIN_A		AO3407A	Standard	Standard	SOT23-3	3		SM_SOT23_HIDENSITY_G_S_D	MOSFET P-CH 30V 4.3A SOT23				30V	4.3A	1.4A	Alpha & Omega	AO3407A	Digi-Key	785-1006-1-ND						
Q_PFET_AO4421	Q_PFET_8PIN		AO4421	Standard	Standard	8-SOIC	8		8-SOIC-4mm-N	"Mosfet, P Channel"				60V	6.2A		Alpha & Omega	AO4421	Digi-Key	785-1025-6-ND						
Q_PFET_AO6405	Q_PFET_6PIN		AO6405	Standard	Standard	TSOP-6	6		SM_TSOP-6	MOSFET P-CH 30V 5A 6TSOP				30V	5A		Alpha & Omega	AO6405	Digi-Key	785-1072-1-ND						
Q_PFET_AO6409	Q_PFET_6PIN_B		AO6409A	Standard	Standard	TSOP-6	6		SM_TSOP-6	"Mosfet, P Channel"				20V	5.5A		Alpha & Omega	AO6409A	Digi-Key	785-1598-1-ND					Flex_SON8_3.3x3.3_DQG8	
Q_PFET_AO6409A	Q_PFET_6PIN_B		AO6409A	Standard	Standard	TSOP-6	6		SM_TSOP-6	"Mosfet, P Channel"							Alpha & Omega	AO6409A	Digi-Key	785-1598-1-ND						
Q_PFET_AOD4185	Q_PFET_3PIN_134		AOD4185	Standard	Standard	TO-252 (D-Pak)	3		SM_DPAK	MOSFET P-CH 40V 40A TO252			15mOhm	40V	40A	2.5W	Alpha & Omega	AOD4185	Digi-Key	785-1222-1-ND						
Q_PFET_AON7401	Q_PFET_8PIN		AON7401	Standard	Standard	8-DFN	8		8-DFN_3x3	"Mosfet, P Channel"				30V	12A		Alpha & Omega	AON7401	Digi-Key	785-1302-2-ND					Flex_SON8_3.3x3.3_DQG8	
Q_PFET_BSS84_SOT23	Q_PFET_SMALL		BSS84	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	"Mosfet, P Channel, Small Signal"							Fairchild	BSS84	Digi-Key	BSS84CT-ND	Diodes Inc.	BSS84TA	Digi-Key	BSS84ZXCT-ND	Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_PFET_DMP3008SFG	Q_PFET_8PIN		DMP3008SFG	Standard	Standard	WDFN-8	8		SM_WDFN-8	MOSFET P-CH 30V 8.6A POWERDI 				30V	8.6A	900mW	Diodes Inc.	DMP3008SFG-7 	Digi-Key	DMP3008SFG-7DICT-ND						
Q_PFET_DMP4025LSD	Q_PFET_DUAL_8PIN		DMP4025LSD	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-M	MOSFET 2P-CH 40V 6.9A 8SO 				40V	6.9A	1.8W	Diodes Inc.	DMP4025LSD-13 	Digi-Key	DMP4025LSD-13DICT-ND						
Q_PFET_DMP4025SFG	Q_PFET_8PIN		DMP4025SFG	Standard	Standard	WDFN-8	8		SM_WDFN-8	MOSFET P-CH 40V 4.65A POWERDI				40V	4.65A	810mW	Diodes Inc.	DMP4025SFG-13 	Digi-Key	DMP4025SFG-13DICT-ND 						
Q_PFET_DMP4047LFDE	Q_PFET_6PIN		DMP4047LFDE	Standard	Standard	6-UDFN	6		SM_DFN2020-6_TYPEE	MOSFET P-CH 40V 3.3A U-DFN2020				40V	3.3A	700mW	Diodes Inc.	DMP4047LFDE	Digi-Key	DMP4047LFDE-7DICT-ND						
Q_PFET_DMP4065S_SOT23	Q_PFET_SMALL		DMP4065S	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	MOSFET P-CH 40V 2.4A SOT23				40V	2.4A	720mW	Diodes Incorporated	DMP4065S-7	Digi-Key	DMP4065S-7DICT-ND					Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_PFET_FDC6506P	Q_PFET_DUAL_6PIN_A		FDC6506P	Standard	Standard	SOT23-6	6		SM_SUPERSOT-6	MOSFET 2P-CH 30V 1.8A SSOT6				30V	1.8A	700mW	On Semiconductor	FDC6506P	Digi-Key	FDC6506PCT-ND						
Q_PFET_NFET_20V_3.6A_SOT23-6	Q_PFET_NFET_6PIN		DMC2038LVT	Standard	Standard	SOT23-6	6		SM_SOT23-6	"Mosfet, P Channel and N Channel"				20V	3.6A		Diodes Inc.	DMC2038LVT	Digi-Key	DMC2038LVT-7DICT-ND						
