Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
R_0R_Jumper_0402	R		0R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 0 OHM JUMPER 1/16W 0402		None	0			1/16W	Yageo	RC0402JR-070RL	Digi-Key	311-0.0JRCT-ND	Panasonic	ERJ-2GE0R00X	Digi-Key	P0.0JCT-ND	Flex_R_0402(1005)	
R_R100_1%_0402	R		R100	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 100 MOHM 1% 1/10W 0402		1%	0.1				"Samsung Electro-Mechanics America, Inc."	RUT1005FR100CS	Digi-Key	1276-6167-1-ND					Flex_R_0402(1005)	
R_1_1%_0402	R		1R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 1 OHM 1% 1/16W 0402		1%	1				Yageo	AC0402FR-071RL	Digi-Key	YAG3451CT-ND					Flex_R_0402(1005)	
R_4.7_1%_0402	R		4.7R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 4.7 OHM 1% 1/16W 0402		1%	4.7				Yageo	RC0402FR-074R7L	Digi-Key	311-4.70LRCT-ND					Flex_R_0402(1005)	
R_10_1%_0402	R		10R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 10 OHM 1% 1/16W 0402		1%	10				Yageo	RC0402FR-0710RL	Digi-Key	311-10.0LRCT-ND	Panasonic	ERJ-2RKF1002X	Digi-Key	P10.0KLCT-ND	Flex_R_0402(1005)	
R_15_1%_0402	R		15R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 15 OHM 1% 1/16W 0402		1%	15				Yageo	RC0402FR-0715RL	Digi-Key	311-15LRCT-ND	TE Connectivity Passive Product	CRGCQ0402F15R	Digi-Key	A129605CT-ND	Flex_R_0402(1005)	
R_20_1%_0402	R		20R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 20 OHM 1% 1/16W 0402		1%	20				Yageo	RC0402FR-0720RL	Digi-Key	311-20LRCT-ND					Flex_R_0402(1005)	
R_27_1%_0402	R		27R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 27 OHM 1% 1/10W 0402		1%	27				Yageo	RC0402FR-0727RL	Digi-Key	YAG3086CT-ND	Panasonic	ERJ-2RKF27R0X	Digi-Key	P27.0LCT-ND	Flex_R_0402(1005)	
R_33_1%_0402	R		33R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 33 OHM 1% 1/10W 0402		1%	33				Yageo	RC0402FR-0733RL	Digi-Key	311-33.0LRCT-ND	Panasonic	ERJ-2RKF33R0X	Digi-Key	P33.0LCT-ND	Flex_R_0402(1005)	
R_47_1%_0402	R		47R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 47 OHM 1% 1/16W 0402		1%	47				Yageo	RC0402FR-0747RL	Digi-Key	311-47.0LRCT-ND	TE Connectivity Passive Product	CRGCQ0402F47R	Digi-Key	A129611CT-ND	Flex_R_0402(1005)	
R_75_1%_0402	R		75R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 75 OHM 1% 1/16W 0402		1%	75				Yageo	RC0402FR-0775RL	Digi-Key	311-75.0LRCT-ND					Flex_R_0402(1005)	
R_100_1%_0402	R		100R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 100 OHM 1% 1/16W 0402		1%	100			1/16W	Yageo	RC0402FR-07100RL	Digi-Key	311-100LRTR-ND					Flex_R_0402(1005)	
R_100_5%_0402	R		100R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	Resistor		5%	100				Yageo	RC0402JR-07100RL	Digi-Key	311-100JRTR-ND					Flex_R_0402(1005)	
R_120_1%_0402	R		120R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	Resistor		1%	120				Yageo	RC0402FR-07120RL	Digi-Key	311-120LRCT-ND					Flex_R_0402(1005)	
R_220_5%_0402	R		220R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 220 OHM 5% 1/16W 0402		5%	220				Yageo	RC0402JR-07220RL	Digi-Key	P220LCT-ND	Panasonic	ERJ-2RKF2200X			Flex_R_0402(1005)	
R_330_1%_0402	R		330R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 330 OHM 1% 1/16W 0402		1%	330			0.063W	"Samsung Electro-Mechanics America, Inc."	RC1005F331CS	Digi-Key	1276-3976-1-ND					Flex_R_0402(1005)	
R_442_1%_0402	R		442R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 442 OHM 1% 1/16W 0402		1%	442				Yageo	RC0402FR-07442RL	Digi-Key	YAG3162CT-ND	Panasonic	ERJ-2RKF4420X	Digi-Key	P442LCT-ND	Flex_R_0402(1005)	
R_470_1%_0402	R		470R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	Resistor		1%	470				Yageo	RC0402FR-07470RL	Digi-Key	311-470LRTR-ND					Flex_R_0402(1005)	
R_470_5%_0402	R		470R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 470 OHM 5% 1/16W 0402		5%	470				Yageo	RC0402JR-07470RL	Digi-Key	311-470JRCT-ND					Flex_R_0402(1005)	
R_620_5%_0402	R		620R	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	RES SMD 620 OHM 5% 1/16W 0402		5%	620				Yageo	RC0402JR-07620RL	Digi-Key	311-620JRTR-ND					Flex_R_0402(1005)	
