Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
R_0R_Jumper_0805	R		0R	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES SMD 0 OHM JUMPER 1/8W 0805		None	0R				Yageo	RC0805JR-070RL	Digi-Key	311-0.0ARCT-ND	Panasonic	ERJ-6GEY0R00V	Digi-Key	P0.0ACT-ND	Flex_R_0805(2012)	
R_R005_1%_0805	R		R005	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.005 OHM 1% 1/2W 0805		1%	R005		10A	0.5W	Rohm	PMR10EZPFU5L00	Digi-Key	RHM.005AJCT-ND	Bourns	CRF0805-FX-R005ELF	Digi-Key	CRF0805-FX-R005ELFCT-ND	Flex_R_0805(2012)	
R_R010_1%_0805	R		R010	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.01 OHM 1% 1/2W 0805		1%	R010			0.5W	Susumu	KRL1220E-M-R010-F-T5	Digi-Key	408-1544-1-ND 						
R_R050_1%_0805	R		R050	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.05 OHM 1% 1/2W 0805		1%	R050			0.5W	Panasonic Electronic Components	ERJ-6BWFR050V	Digi-Key	P17581CT-ND						
R_R068_1%_0805	R		R068	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.068 OHM 1% 1/2W 0805		1%	R068			0.5W	Susumu	KRL1220E-M-R068-F-T5	Digi-Key	408-1554-1-ND	Panasonic	ERJ-6BWFR068V	Digi-Key	P17585DKR-ND		
R_R100_1%_0805	R		R100	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.1 OHM 1% 1/2W 0805		1%	R100			.5W	Susumu	KRL1220E-M-R100-F-T5	Digi-Key	408-1556-1-ND						
R_R130_1%_0805	R		R130	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.13 OHM 1% 1/3W 0805		1%	R130			0.33W	Susumu	RL1220S-R13-F	Digi-Key	RL12S.13FCT-ND						
R_R150_1%_0805	R		R150	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.15 OHM 1% 1/3W 0805		1%	R150			0.33W	Susumu	RL1220S-R15-F	Digi-Key	RL12S.15FCT-ND						
R_R200_1%_0805	R		R200	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.2 OHM 1% 1/3W 0805		1%	R200			0.33W	Susumu	RL1220S-R20-F	Digi-Key	RL12S.20FCT-ND						
R_R220_1%_0805	R		R220	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.22 OHM 1% 1/3W 0805		1%	R220			0.33W	Panasonic Electronic Components	ERJ-6BQFR22V	Digi-Key	P15998CT-ND						
R_R560_1%_0805	R		R560	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.56 OHM 1% 1/3W 0805 		1%	R560			0.33W	Susumu	RL1220S-R56-F	Digi-Key	RL12S.56FCT-ND						
R_R620_1%_0805	R		R620	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.62 OHM 1% 1/8W 0805		1%	R620			0.125W	Yageo	RL0805FR-070R62L	Digi-Key	311-.62SCT-ND						
R_R910_1%_0805	R		R910	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES 0.91 OHM 1% 1/8W 0805		1%	R910			0.125W	Yageo	RL0805FR-070R91L	Digi-Key	311-.91SCT-ND						
R_1.3_1%_0805	R		1.3R	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	RES SMD 1.3 OHM 1% 1/3W 0805		1%	1.3R			0.333W	Panasonic Electronic Components	ERJ-6BQF1R3V	Digi-Key	P17501DKR-ND	Panasonic Electronic Components	ERJ-6DQF1R3V	Digi-Key	P19271CT-ND		
