Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
CAP_0.1u_10%_50V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	0.1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 0.1UF 50V X7R 0603	X7R	10%	0.1u	50V			Kemet	C0603C104K5RACTU	Digi-Key	399-5089-1-ND	AVX Corporation	06035C104KAT4A	Digi-Key	478-10346-1-ND	Flex_C_0603(1608)	
CAP_0.1u_10%_50V_0603_X7R-flex	CAP_NP	Symbols\CAP_NP.Schlib	0.1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 0.1UF 50V X7R 0603 Boardflex	X7R	10%	0.1u	50V			Kemet	C1608X7R1H104K080AE	Digi-Key	445-15927-1-ND	Murata	GCJ188R71H104KA12D	Digi-Key	490-5798-1-ND	Flex_C_0603(1608)	
CAP_0.1u_20%_100V_0603_X7S	CAP_NP	Symbols\CAP_NP.Schlib	0.1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 0.1UF 100V X7S 0603	X7R	20%	0.1u	100V			TDK Corporation	CGA3E3X7S2A104M080AB	Digi-Key	445-12576-1-ND						
CAP_0.47u_10%_16V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	0.47u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X7R	10%	0.47u	16V			Murata	GRM188R71C474KA88D	Digi-Key	490-3295-1-ND					Flex_C_0603(1608)	
CAP_0.47u_10%_50V_0603_X7R	CAP_NP		0.47u	Standard	Standard	0603(1608)	2		SM/IPC/C_0603	CAP CER 0.47UF 50V X7R 0603	X7R	10%	0.47u	50V			Taiyo Yuden	UMK107B7474KA-TR	Digi-Key	587-3170-1-ND						
CAP_1u_10%_6.3V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X7R	10%	1u	6.3V			Murata	GRM188R70J105KA01D	Digi-Key	490-3898-1-ND					Flex_C_0603(1608)	
CAP_1u_10%_16V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X5R	10%	1u	16V			TDK	C1608X5R1C105K080AA	Digi-Key	445-1416-1-ND					Flex_C_0603(1608)	
CAP_1u_10%_16V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1UF 16V X7R 0603	X7R	10%	1u	16V			Samsung	CL10B105KO8NNNC	Digi-Key	1276-1019-1-ND					Flex_C_0603(1608)	
CAP_1u_10%_25V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X5R	10%	1u	25V			Murata	GRM188R71E105KA12D	Digi-Key	490-5307-1-ND	Kemet	C0603C105K3RACTU	Digi-Key	399-7376-1-ND	Flex_C_0603(1608)	
CAP_1u_10%_25V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1UF 25V X7R 0603	X7R	10%	1u	25V			Samsung	CL10B105KA8NNNC	Digi-Key	1276-1184-1-ND						
CAP_1u_10%_50V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1UF 50V X5R 0603	X5R	10%	1u	50V			Taiyo Yuden	UMK107BJ105KA-T	Digi-Key	587-2400-1-ND	Samsung	CL10A105KB8NNNC	Digi-Key	1276-1860-1-ND		
CAP_1u_10%_50V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1UF 50V X7R 0603	X7R	10%	1u	50V			Taiyo Yuden	UMK107AB7105KA-T	Digi-Key	587-3247-1-ND					Flex_C_0603(1608)	
CAP_2.2u_10%_6.3V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	2.2u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 2.2UF 6.3V X5R 0603	X5R	20%	2.2u	6.3V			Yageo	CC0603KRX5R5BB225	Digi-Key	311-1449-1-ND	Samsung	CL10A225KQ8NNNC	Digi-Key	1276-1183-1-ND		
CAP_22u_20%_6.3V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	22u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 22UF 6.3V X5R 0603	X5R	20%	22u	6.3V			Murata	GRM188R60J226MEA0D	Digi-Key	490-7611-1-ND	Samsung	CL10A226MQ8NRNE	Digi-Key	1276-2868-1-ND		
CAP_4.7u_10%_10V_0603_X7S	CAP_NP		4.7u	Standard	Standard	0603(1608)	2		SM/IPC/C_0603	CAP CER 4.7UF 10V X7S 0603	X7S	10%	4.7u	10V			TDK Corporation	C1608X7S1A475K080AC	Digi-Key	445-14258-1-ND						
CAP_4.7u_10%_6.3V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	4.7u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 4.7UF 6.3V X7R 0603	X7R	10%	4.7u	6.3V			Taiyo Yuden	JMK107BB7475KA-T	Digi-Key	587-5870-1-ND						
CAP_4.7u_10%_16V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	4.7u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X5R	10%	4.7u	16V			Murata	GRM188R61C475KAAJD	Digi-Key	490-10481-1-ND	Samsung	CL10A475KO8NNNC	Digi-Key	1276-1784-1-ND	Flex_C_0603(1608)	
CAP_10u_10%_10V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	10u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X5R	10%	10u	10V			Murata	GRM188R61A106KE69D	Digi-Key	490-10474-1-ND	TDK	C1608X5R1A106M080AC	Digi-Key	445-6853-1-ND	Flex_C_0603(1608)	
CAP_10u_20%_6.3V_0603_X5R	CAP_NP	Symbols\CAP_NP.Schlib	10u	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	X5R	20%	10u	6.3V			TDK	C1608X5R0J106M080AB	Digi-Key	445-4112-1-ND	Murata	GRM188R60J106ME47D	Digi-Key	490-3896-1-ND	Flex_C_0603(1608)	
